term,definition
abdominal aorta,portion of the aorta inferior to the aortic hiatus and superior to the common iliac arteries.
abdominopelvic cavity,division of the anterior (ventral) cavity that houses the abdominal and pelvic viscera.
abducens nerve,sixth cranial nerve; responsible for contraction of one of the extraocular muscles.
abduction,movement in the coronal plane that moves a limb laterally away from the body; spreading of the fingers.
ABO blood group,blood-type classification based on the presence or absence of A and B carbohydrates on the erythrocyte membrane surface.
absolute refractory period,time during an action period when another action potential cannot be generated because the voltage-gated Na+ channel is inactivated.
absorption,passage of digested products from the intestinal lumen through mucosal cells and into the bloodstream or lacteals.
accessory digestive organ,"includes teeth, tongue, salivary glands, gallbladder, liver, and pancreas."
accessory duct,"(also, duct of Santorini) duct that runs from the pancreas into the duodenum."
acclimatisation,process of adjustment that the respiratory system makes due to chronic exposure to high altitudes.
acetabular labrum,lip of fibrocartilage that surrounds outer margin of the acetabulum on the hip bone.
acetabulum,"large, cup-shaped cavity located on the lateral side of the hip bone; formed by the junction of the ilium, pubis, and ischium portions of the hip bone."
acetylcholine (ACh),neurotransmitter that binds at a motor end-plate to trigger depolarisation.
acinus,cluster of glandular epithelial cells in the pancreas that secretes pancreatic secretion in the pancreas.
acne,skin condition due to infected sebaceous glands.
acromegaly,"disorder in adults caused when abnormally high levels of GH trigger growth of bones in the face, hands, and feet."
acromial end of the clavicle,lateral end of the clavicle that articulates with the acromion of the scapula.
acromial process,acromion of the scapula.
acromioclavicular joint,articulation between the acromion of the scapula and the acromial end of the clavicle.
acromion,flattened bony process that extends laterally from the scapular spine to form the bony tip of the shoulder.
acrosome,cap-like vesicle located at the anterior-most region of a sperm that is rich with lysosomal enzymes capable of digesting the protective layers surrounding the oocyte.
acrosomal reaction,release of digestive enzymes by sperm that enables them to burrow through the corona radiata and penetrate the zona pellucida of an oocyte prior to fertilisation.
actin,protein that makes up most of the thin myofilaments in a sarcomere muscle fibre.
action potential,change in voltage of a cell membrane in response to a stimulus that results in transmission of an electrical signal; unique to neurons and muscle fibres.
activation gate,part of the voltage-gated Na+ channel that opens when the membrane voltage reaches threshold.
active immunity,immunity developed from an individual’s own immune system.
active transport,form of transport across the cell membrane that requires input of cellular energy.
acute inflammation,inflammation occurring for a limited time period; rapidly developing.
acute mountain sickness (AMS),condition that occurs a result of acute exposure to high altitude due to a low partial pressure of oxygen.
adaptive immune response,relatively slow but very specific and effective immune response controlled by lymphocytes.
adductor tubercle,"small, bony bump located on the superior aspect of the medial epicondyle of the femur."
adenylyl cyclase,"membrane-bound enzyme that converts ATP to cyclic AMP, creating cAMP, as a result of G-protein activation."
α-dextrin,breakdown product of starch.
α-dextrinase,brush border enzyme that acts on α-dextrins.
adipocytes,lipid storage cells.
adipose tissue,specialised areolar tissue rich in stored fat.
adrenal artery,branch of the abdominal aorta; supplies blood to the adrenal (suprarenal) glands.
adrenal cortex,outer region of the adrenal glands consisting of multiple layers of epithelial cells and capillary networks that produces mineralocorticoids and glucocorticoids.
adrenal glands,"endocrine glands located at the top of each kidney that are important for the regulation of the stress response, blood pressure and blood volume, water homeostasis, and electrolyte levels."
adrenal medulla,inner layer of the adrenal glands that plays an important role in the stress response by producing adrenaline and noradrenaline.
adrenal vein,drains the adrenal or suprarenal glands that are immediately superior to the kidneys; the right adrenal vein enters the inferior vena cava directly and the left adrenal vein enters the left renal vein.
adrenaline,primary and most potent catecholamine hormone secreted by the adrenal medulla in response to short-term stress.
adrenocorticotropic hormone (ACTH),anterior pituitary hormone that stimulates the adrenal cortex to secrete corticosteroid hormones (also called corticotropin).
aerobic respiration,production of ATP in the presence of oxygen.
afferent lymphatic vessels,lead into a lymph node.
afterload,force the ventricles must develop to effectively pump blood against the resistance in the vessels.
agglutination,clustering of cells into masses linked by antibodies.
agranular leukocytes,"leukocytes with few visible granules in their cytoplasm; specifically, monocytes, lymphocytes, and NK cells."
ala,"(plural = alae) small, flaring structure of a nostril that forms the lateral side of the nares."
alar cartilage,cartilage that supports the apex of the nose and helps shape the nares; it is connected to the septal cartilage and connective tissue of the alae.
alarm reaction,"the short-term stress, or the fight-or-flight response, of stage one of the general adaptation syndrome mediated by the hormones adrenaline and noradrenaline."
alar plate,developmental region of the spinal cord that gives rise to the posterior horn of the grey matter.
albinism,"genetic disorder that affects the skin, in which there is no melanin production."
albumin,"most abundant plasma protein, accounting for most of the osmotic pressure of plasma."
aldosterone,hormone produced and secreted by the adrenal cortex that stimulates sodium and fluid retention and increases blood volume and blood pressure.
alkaloid,"substance, usually from a plant source, that is chemically basic with respect to pH and will stimulate bitter receptors."
allantois,finger-like outpocketing of yolk sac forms the primitive excretory duct of the embryo; precursor to the urinary bladder.
alpha cell,pancreatic islet cell type that produces the hormone glucagon.
alpha-helix structure (α-helix) –,type of secondary protein structure formed by folding the polypeptide into a helix shape with hydrogen bonds stabilising the structure.
alveolar dead space,air space within alveoli that are unable to participate in gas exchange.
alveolar duct,small tube that leads from the terminal bronchiole to the respiratory bronchiole and is the point of attachment for alveoli.
alveolar macrophage,immune system cell of the alveolus that removes debris and pathogens.
alveolar pore,opening that allows airflow between neighbouring alveoli.
alveolar process of the mandible,upper border of mandibular body that contains the lower teeth.
alveolar process of the maxilla,"curved, inferior margin of the maxilla that supports and anchors the upper teeth."
alveolar sac,cluster of alveoli.
alveoli,(of the breast) milk-secreting cells in the mammary gland.
alveolus,"small, grape-like sac that performs gas exchange in the lungs."
amacrine cell,type of cell in the retina that connects to the bipolar cells near the outer synaptic layer and provides the basis for early image processing within the retina.
amino acid –,"a protein’s monomer; has a central carbon or alpha carbon to which an amino group, a carboxyl group, a hydrogen, and an R group or side chain is attached; the R group is different for all 20 common amino acids."
amnion,transparent membranous sac that encloses the developing foetus and fills with amniotic fluid.
amniotic cavity,cavity that opens between the inner cell mass and the trophoblast; develops into amnion.
aminopeptidase,brush border enzyme that acts on proteins.
amphiarthrosis,slightly mobile joint.
amphipathic,"descr.ibes a molecule that exhibits a difference in polarity between its two ends, resulting in a difference in water solubility."
ampulla,"in the ear, the structure at the base of a semicircular canal that contains the hair cells and cupula for transduction of rotational movement of the head."
ampulla,(of the uterine tube) middle portion of the uterine tube in which fertilisation often occurs
amygdala,nucleus deep in the temporal lobe of the cerebrum that is related to memory and emotional behaviour.
anaemia,deficiency of red blood cells or haemoglobin.
anagen,active phase of the hair growth cycle.
anal canal,final segment of the large intestine.
anal column,long fold of mucosa in the anal canal.
anal sinus,recess between anal columns.
anaphase,"third stage of mitosis (and meiosis), during which sister chromatids separate into two new nuclear regions of a dividing cell."
anaphylactic shock,type of shock that follows a severe allergic reaction and results from massive vasodilation.
anastomosis,(plural = anastomoses) area where vessels unite to allow blood to circulate even if there may be partial blockage in another branch.
anatomical dead space,air space present in the airway that never reaches the alveoli and therefore never participates in gas exchange.
anatomical neck,line on the humerus located around the outside margin of the humeral head.
anatomical position,standard reference position used for describing locations and directions on the human body.
anatomical sphincter,smooth or skeletal muscle surrounding the lumen of a vessel or hollow organ that can restrict flow when contracted
anatomy,science that studies the form and composition of the body’s structures.
anchoring junction,mechanically attaches adjacent cells to each other or to the basement membrane.
angioblasts,stem cells that give rise to blood vessels.
angiogenesis,development of new blood vessels from existing vessels.
angiotensin-converting enzyme,the enzyme that c.
angle of the mandible,rounded corner located at outside margin of the body and ramus junction.
angle of the rib,"portion of rib with greatest curvature; together, the rib angles form the most posterior extent of the thoracic cage."
angiotensin-converting enzyme (ACE),enzyme produced by the lungs that catalyses the reaction of inactive angiotensin I into active angiotensin II.
angiotensin I,protein produced by the enzymatic action of renin on angiotensinogen; inactive precursor of angiotensin II.
angiotensin II,protein produced by the enzymatic action of ACE on inactive angiotensin I; actively causes vasoconstriction and stimulates aldosterone release by the adrenal cortex.
angiotensinogen,inactive protein in the circulation produced by the liver; precursor of angiotensin I; must be modified by the enzymes renin and ACE to be activated.
ankle joint –,"joint that separates the leg and foot portions of the lower limb; formed by the articulations between the talus bone of the foot inferiorly, and the distal end of the tibia, medial malleolus of the tibia, and lateral malleolus of the fibula superiorly."
annular ligament,intrinsic ligament of the elbow articular capsule that surrounds and supports the head of the radius at the proximal radioulnar joint.
anosmia,loss of the sense of smell; usually the result of physical disruption of the first cranial nerve.
aqueous humour,"watery fluid that fills the anterior chamber containing the cornea, iris, ciliary body, and lens of the eye."
anterior,describes the front or direction toward the front of the body; also referred to as ventral.
anterior arch,anterior portion of the ring-like C1 (atlas) vertebra.
anterior border of the tibia,"narrow, anterior margin of the tibia that extends inferiorly from the tibial tuberosity."
anterior cardiac veins,vessels that parallel the small cardiac arteries and drain the anterior surface of the right ventricle; bypass the coronary sinus and drain directly into the right atrium.
anterior cavity,"larger body cavity located anterior to the posterior (dorsal) body cavity; includes the serous membrane-lined pleural cavities for the lungs, pericardial cavity for the heart, and peritoneal cavity for the abdominal and pelvic organs; also referred to as ventral cavity."
anterior cerebral artery,arises from the internal carotid artery; supplies the frontal lobe of the cerebrum.
anterior column,white matter between the anterior horns of the spinal cord composed of many different groups of axons of both ascending and descending tracts.
anterior communicating artery,anastomosis of the right and left internal carotid arteries; supplies blood to the brain.
anterior corticospinal tract,division of the corticospinal pathway that travels through the ventral (anterior) column of the spinal cord and controls axial musculature through the medial motor neurons in the ventral (anterior) horn.
anterior cranial fossa,shallowest and most anterior cranial fossa of the cranial base that extends from the frontal bone to the lesser wing of the sphenoid bone.
anterior cruciate ligament,"intracapsular ligament of the knee; extends from anterior, superior surface of the tibia to the inner aspect of the lateral condyle of the femur; resists hyperextension of knee."
anterior horn,"grey matter of the spinal cord containing multipolar motor neurons, sometimes referred to as the ventral horn."
anterior inferior iliac spine,"small, bony projection located on the anterior margin of the ilium, below the anterior superior iliac spine."
anterior interventricular artery,"(also, left anterior descending artery or LAD) major branch of the left coronary artery that follows the anterior interventricular sulcus."
anterior interventricular sulcus,sulcus located between the left and right ventricles on the anterior surface of the heart.
anterior longitudinal ligament,"ligament that runs the length of the vertebral column, uniting the anterior aspects of the vertebral bodies."
anterior median fissure,"deep midline feature of the anterior spinal cord, marking the separation between the right and left sides of the cord."
anterior sacroiliac ligament,strong ligament between the sacrum and the ilium portions of the hip bone that supports the anterior side of the sacroiliac joint.
anterior spinal artery,blood vessel from the merged branches of the vertebral arteries that runs along the anterior surface of the spinal cord.
anterior superior iliac spine,"rounded, anterior end of the iliac crest."
